,Age of Members of 117th Congress,Title,Party,Age,Birthday,Number of Terms,Committee List
R-OH-8,Rep Warren Davidson ,US Representative,Republican,52,3/1/1970,5,"Member | Financial Services, Economic Disparity and Fairness in Growth"
D-IL-7,Rep Danny Davis ,US Representative,Democrat,80,9/6/1941,14,"Ways and Means, Oversight"
D-NC-1,Rep elect Don Davis ,US Representative,Democrat,51,8/29/1971,1,
R-IL-13,Outgoing Rep Rodney Davis ,US Representative,Republican,52,1/5/1970,5,"House Administration (Ranking Member), Agriculture, Transportation, Printing, Library, Modernization of Congress"
D-PA-4,Rep Madeleine Dean ,US Representative,Democrat,62,6/6/1959,3,"Member, Vice Chair | Judiciary (Vice Chair), Financial Services"
D-OR-4,Outgoing Rep Peter DeFazio ,US Representative,Democrat,74,5/27/1947,18,Transportation (Chair)
D-CO-1,Rep Diana DeGette ,US Representative,Democrat,64,7/29/1957,14,"Member | Energy, Natural Resources"
R-TX-15,Rep elect Monica De la Cruz Hernandez ,US Representative,Republican,48,9/11/1974,1,
D-CT-3,Rep Rosa DeLauro ,US Representative,Democrat,79,3/2/1943,17,"Co-Chair, Member | Appropriations (Chair)"
D-WA-1,Rep Suzan DelBene ,US Representative,Democrat,60,2/17/1962,7,"Chair, Co-Chair, Member | Ways and Means (Vice Chair)"
D-PA-17,Rep elect Christopher Deluzio ,US Representative,Democrat,38,7/13/1984,1,
D-FL-10,Outgoing Rep Val Demings ,US Representative,Democrat,65,3/12/1957,3,"Co-Chair, Member | Judiciary, Intelligence, Homeland Security"
D-CA-11,Rep Mark DeSaulnier ,US Representative,Democrat,69,3/31/1952,5,"Rules (Vice Chair), Education, Transportation, Oversight"
R-TN-4,Rep Scott DesJarlais ,US Representative,Republican,58,2/21/1964,7,"Armed Services, Agriculture"
R-NY-4,Rep elect Anthony D'Esposito ,US Representative,Republican,40,2/22/1982,1,
R-NY-3,Rep elect George Devolder-Santos ,US Representative,Republican,34,7/22/1988,1,
R-FL-25,Rep Mario Diaz-Balart ,US Representative,Republican,60,9/25/1961,11,"Member, Vice Chair for Redistricting | Appropriations"
D-MI-12,Rep Debbie Dingell ,US Representative,Democrat,68,11/23/1953,5,"Co-Chair, Finance Co-Chair, Member, Policy and Communications Committee Co-Chair | Energy, Natural Resources"
D-TX-35,Rep Lloyd Doggett ,US Representative,Democrat,75,10/6/1946,15,"Ways and Means, Budget, Taxation"
R-FL-19,Rep Byron Donalds ,US Representative,Republican,43,10/28/1978,2,"Member | Budget, Small Business, Oversight, Economic Disparity and Fairness in Growth"
D-PA-18,Outgoing Rep Mike Doyle ,US Representative,Democrat,68,8/5/1953,14,Energy
R-CA-13,Rep elect John Duarte ,US Representative,Republican,56,9/9/1966,1,
R-SC-3,Rep Jeff Duncan ,US Representative,Republican,56,1/7/1966,7,Member | Energy
R-FL-2,Rep Neal Dunn ,US Representative,Republican,69,2/16/1953,4,Member | Energy
R-NC-11,Rep elect Chuck Edwards ,US Representative,Republican,62,9/13/1960,1,
R-TX-6,Rep Jake Ellzey ,US Representative,Republican,52,1/24/1970,2,"Veterans' Affairs, Science / Technology"
R-MN-6,Whip Tom Emmer ,US Representative,Republican,61,3/3/1961,5,"Chairman, House Majority Whip, NRCC Chairman | Financial Services"
D-TX-16,Rep Veronica Escobar ,US Representative,Democrat,52,9/15/1969,3,"Co-Chair, Policy and Communications Committee Co-Chair, Vice Chair | Judiciary, Armed Services, Ethics, Climate Crisis"
D-CA-18,Rep Anna Eshoo ,US Representative,Democrat,79,12/13/1942,16,Energy
D-NY-13,Rep Adriano Espaillat ,US Representative,Democrat,67,9/27/1954,4,"Appropriations, Education"
R-KS-4,Rep Ron Estes ,US Representative,Republican,65,7/19/1956,4,"Ways and Means, Economy"
D-PA-3,Rep Dwight Evans ,US Representative,Democrat,67,5/16/1954,5,"Ways and Means, Small Business"
R-MS-4,Rep elect Mike Ezell ,US Representative,Republican,63,4/6/1959,1,
R-TX-4,Rep Pat Fallon ,US Representative,Republican,54,12/19/1967,2,"Armed Services, Oversight"
R-IA-4,Rep Randy Feenstra ,US Representative,Republican,53,1/14/1969,2,"Member | Budget, Agriculture, Science / Technology"
R-GA-3,Rep Drew Ferguson ,US Representative,Republican,55,11/15/1966,4,"Chief Deputy Minority Whip, Chief Deputy Whip | Ways and Means"
R-MN-1,Rep Brad Finstad ,US Representative,Republican,46,5/30/1976,2,"Agriculture, Education"
R-MN-7,Rep Michelle Fischbach ,US Representative,Republican,56,11/3/1965,2,"Rules, Judiciary, Agriculture"
R-WI-5,Rep Scott Fitzgerald ,US Representative,Republican,58,11/16/1963,2,"Member | Judiciary, Education, Small Business"
R-PA-1,Rep Brian Fitzpatrick ,US Representative,Republican,48,12/17/1973,4,"Foreign Affairs, Intelligence, Transportation"
R-TN-3,Rep Chuck Fleischmann ,US Representative,Republican,59,10/11/1962,7,Appropriations
D-TX-7,Rep Lizzie Fletcher ,US Representative,Democrat,47,2/13/1975,3,"Member | Energy, Science / Technology"
R-NE-1,Rep Mike Flood ,US Representative,Republican,47,2/23/1975,2,"Small Business, Oversight"
R-TX-34,Rep Mayra Flores ,US Representative,Republican,36,1/1/1986,1,"Agriculture, Homeland Security"
D-IL-11,Rep Bill Foster ,US Representative,Democrat,66,10/7/1955,6,"Financial Services, Science / Technology"
D-NC-4,Rep elect Valerie Foushee ,US Representative,Democrat,66,5/7/1956,1,
R-NC-5,Rep Virginia Foxx ,US Representative,Republican,78,6/29/1943,10,"Education (Ranking Member), Oversight"
D-FL-21,Rep Lois Frankel ,US Representative,Democrat,73,5/16/1948,6,"Co-Chair | Appropriations, Veterans' Affairs"
R-FL-15,Rep Scott Franklin ,US Representative,Republican,57,8/23/1964,2,"Armed Services, Oversight"
D-FL-10,Rep elect Maxwell Frost ,US Representative,Democrat,25,1/17/1997,1,
R-SC-7,Rep elect Russell Fry ,US Representative,Republican,37,1/31/1985,1,
R-ID-1,Rep Russ Fulcher ,US Representative,Republican,60,3/9/1962,3,"Member | Natural Resources, Education"
R-FL-1,Rep Matt Gaetz ,US Representative,Republican,39,5/7/1982,4,"Judiciary, Armed Services"
R-WI-8,Rep Mike Gallagher ,US Representative,Republican,38,3/3/1984,4,"Member | Armed Services, Intelligence, Transportation"
D-AZ-7,Rep Ruben Gallego ,US Representative,Democrat,42,11/20/1979,5,"Armed Services, Natural Resources, Veterans' Affairs"
D-CA-3,Rep John Garamendi ,US Representative,Democrat,77,1/24/1945,8,"Armed Services, Transportation"
R-NY-2,Rep Andrew Garbarino ,US Representative,Republican,37,9/27/1984,2,"Member | Homeland Security, Small Business"
D-IL-4,Rep Chuy Garcia ,US Representative,Democrat,65,4/12/1956,3,"Regional Whip | Natural Resources (Vice Chair), Financial Services, Transportation"
R-CA-25,Rep Mike Garcia ,US Representative,Republican,45,4/24/1976,3,"Member | Appropriations, Science / Technology"
D-TX-29,Rep Sylvia Garcia ,US Representative,Democrat,71,9/6/1950,3,"Vice Chair | Financial Services, Judiciary, Armed Services"
R-OH-7,Outgoing Rep Bob Gibbs ,US Representative,Republican,67,6/14/1954,6,"Transportation, Oversight"
R-FL-26,Rep Carlos Gimenez ,US Representative,Republican,68,1/17/1954,2,"Assistant Whip, Member | Homeland Security, Transportation, Science / Technology"
D-WA-3,Rep elect Kristina Gluesenkamp Perez ,US Representative,Democrat,34,6/6/1988,1,
R-TX-1,Outgoing Rep Louie Gohmert ,US Representative,Republican,68,8/18/1953,9,"Natural Resources (Assistant Ranking Minority Member), Judiciary"
D-ME-2,Rep Jared Golden ,US Representative,Democrat,39,7/25/1982,3,"Member | Armed Services, Small Business"
D-NY-10,Rep elect Daniel Goldman ,US Representative,Democrat,46,2/26/1976,1,
D-CA-34,Rep Jimmy Gomez ,US Representative,Democrat,47,11/25/1974,4,"Vice Chair | Oversight (Vice Chair), Ways and Means"
R-TX-23,Rep Tony Gonzales ,US Representative,Republican,41,10/10/1980,2,"Assistant Whip, Member | Appropriations"
R-OH-16,Outgoing Rep Anthony Gonzalez ,US Representative,Republican,37,9/18/1984,2,"Member | Financial Services, Science / Technology, Climate Crisis"
D-TX-15,Rep Vicente Gonzalez ,US Representative,Democrat,54,9/4/1967,4,"Financial Services, Foreign Affairs, Economic Disparity and Fairness in Growth"
PNP-PR-1,Commish Jenniffer González-Colón ,US Resident Commissioner,New Progressive Party,45,8/5/1976,2,"Member | Natural Resources (Ranking Member), Transportation"
R-VA-5,Rep Bob Good ,US Representative,Republican,56,9/11/1965,2,"Budget, Education"
R-TX-5,Rep Lance Gooden ,US Representative,Republican,39,12/1/1982,3,Financial Services
R-AZ-4,Rep Paul Gosar ,US Representative,Republican,63,11/27/1958,7,
D-NJ-5,Rep Josh Gottheimer ,US Representative,Democrat,47,3/8/1975,4,"Member | Financial Services, Homeland Security"
R-TX-12,Rep Kay Granger ,US Representative,Republican,79,1/18/1943,14,Member | Appropriations (Ranking Member)
R-LA-6,Rep Garret Graves ,US Representative,Republican,50,1/31/1972,5,"Chair | Climate Crisis (Ranking Member), Natural Resources, Transportation"
R-MO-6,Rep Sam Graves ,US Representative,Republican,58,11/7/1963,12,"Transportation (Ranking Member), Armed Services"
D-TX-9,Rep Al Green ,US Representative,Democrat,74,9/1/1947,10,"Financial Services, Homeland Security"
R-TN-7,Rep Mark Green ,US Representative,Republican,57,11/8/1964,3,"Member | Armed Services, Foreign Affairs"
R-GA-14,Rep Marjorie Taylor Greene ,US Representative,Republican,47,5/27/1974,2,Member
R-VA-9,Rep Morgan Griffith ,US Representative,Republican,64,3/15/1958,7,Member | Energy
D-AZ-3,Rep Raúl Grijalva ,US Representative,Democrat,74,2/19/1948,11,"Natural Resources (Chair), Education"
R-WI-6,Rep Glenn Grothman ,US Representative,Republican,66,7/3/1955,5,"Budget, Education, Oversight"
R-MS-3,Rep Michael Guest ,US Representative,Republican,52,2/4/1970,3,"Ethics (Ranking Member), Homeland Security, Transportation"
R-KY-2,Rep Brett Guthrie ,US Representative,Republican,58,2/18/1964,8,Co-Chair | Energy
R-WY-1,Rep elect Harriet Hageman ,US Representative,Republican,60,10/18/1962,1,Freshman Policy Chair
D-CA-10,Rep Josh Harder ,US Representative,Democrat,35,8/1/1986,3,"Member | Appropriations, Agriculture"
R-MD-1,Rep Andy Harris ,US Representative,Republican,65,1/5/1957,7,Appropriations
R-TN-1,Rep Diana Harshbarger ,US Representative,Republican,62,1/1/1960,2,"Assistant Whip, Member | Education, Homeland Security"
R-MO-4,Outgoing Rep Vicky Hartzler ,US Representative,Republican,61,10/13/1960,6,"Armed Services, Agriculture"
D-CT-5,Rep Jahana Hayes ,US Representative,Democrat,49,3/8/1973,3,"Member | Agriculture, Education"
R-OK-1,Rep Kevin Hern ,US Representative,Republican,60,12/4/1961,4,"Chair, Member | Ways and Means"
R-NM-2,Outgoing Rep Yvette Herrell ,US Representative,Republican,57,3/16/1964,1,"Member | Natural Resources, Oversight"
R-WA-3,Outgoing Rep Jaime Herrera Beutler ,US Representative,Republican,43,11/3/1978,6,"Appropriations, Economy"
R-GA-10,Outgoing Rep Jody Hice ,US Representative,Republican,61,4/22/1960,4,"Natural Resources, Oversight"
D-NY-26,Rep Brian Higgins ,US Representative,Democrat,62,10/6/1959,10,"Ways and Means, Budget"
R-LA-3,Rep Clay Higgins ,US Representative,Republican,60,8/24/1961,4,"Homeland Security, Oversight"
R-AR-2,Rep French Hill ,US Representative,Republican,65,12/5/1956,5,"Member, Vice Chair for Policy | Financial Services"
D-CT-4,Rep Jim Himes ,US Representative,Democrat,55,7/5/1966,8,"Co-Chair | Economic Disparity and Fairness in Growth (Chair), Financial Services, Intelligence"
R-IA-1,Rep Ashley Hinson ,US Representative,Republican,38,6/27/1983,2,"Member | Appropriations, Budget"
R-IN-9,Outgoing Rep Trey Hollingsworth ,US Representative,Republican,38,9/12/1983,3,Financial Services
D-NV-4,Rep Steven Horsford ,US Representative,Democrat,48,4/29/1973,3,"Member | Ways and Means, Budget, Armed Services"
R-IN-9,Rep elect Erin Houchin ,US Representative,Republican,46,9/24/1976,1,
D-PA-6,Rep Chrissy Houlahan ,US Representative,Democrat,54,6/5/1967,3,"Member | Armed Services, Foreign Affairs, Small Business"
D-MD-5,Leader Steny Hoyer ,US Representative,Democrat,82,6/14/1939,22,House Majority Leader
D-OR-4,Rep elect Val Hoyle ,US Representative,Democrat,58,2/14/1964,1,
R-NC-8,Rep Richard Hudson ,US Representative,Republican,50,11/4/1971,6,"Chair, Chairman, Deputy Republican Whip, House Republican Conference Secretary, Member, Secretary, Vice Chair for Patriot | Energy"
D-CA-2,Rep Jared Huffman ,US Representative,Democrat,58,2/18/1964,6,"Natural Resources, Transportation, Climate Crisis"
R-MI-2,Rep Bill Huizenga ,US Representative,Republican,53,1/31/1969,7,Member | Financial Services
R-TX-38,Rep elect Wesley Hunt ,US Representative,Republican,41,9/13/1981,1,
R-CA-50,Rep Darrell Issa ,US Representative,Republican,68,11/1/1953,2,"Judiciary, Foreign Affairs"
D-MD-4,Rep elect Glenn Ivey ,US Representative,Democrat,61,2/27/1961,1,
D-NC-14,Rep elect Jeff Jackson ,US Representative,Democrat,40,9/12/1982,1,
D-IL-1,Rep elect Jonathan Jackson ,US Representative,Democrat,56,1/7/1966,1,
R-TX-13,Rep Ronny Jackson ,US Representative,Republican,54,5/4/1967,2,"Assistant Whip | Armed Services, Foreign Affairs"
D-TX-18,Rep Sheila Jackson Lee ,US Representative,Democrat,72,1/12/1950,15,"Chief Deputy Majority Whip, Chief Deputy Whip, Member | Budget, Judiciary, Homeland Security"
R-NY-27,Outgoing Rep Chris Jacobs ,US Representative,Republican,55,11/28/1966,2,"Agriculture, Education"
D-CA-53,Rep Sara Jacobs ,US Representative,Democrat,33,2/1/1989,2,"Caucus Leadership Representative of Five Terms or Less, Member, Vice Chair | Armed Services, Foreign Affairs, Economic Disparity and Fairness in Growth"
R-MI-10,Rep elect John James ,US Representative,Republican,41,6/8/1981,1,
D-WA-7,Rep Pramila Jayapal ,US Representative,Democrat,56,9/21/1965,4,"Member | Budget, Judiciary, Education, Economic Disparity and Fairness in Growth"
D-NY-8,Leader Hakeem Jeffries ,US Representative,Democrat,51,8/4/1970,6,"Chair, Chairman, Democratic Caucus Chair, House Minority Leader, Member | Budget, Judiciary"
R-OH-6,Rep Bill Johnson ,US Representative,Republican,67,11/10/1954,7,Member | Energy
R-SD-1,Rep Dusty Johnson ,US Representative,Republican,45,9/30/1976,3,"Member | Agriculture, Transportation"
D-TX-30,Outgoing Rep Eddie Johnson ,US Representative,Democrat,86,12/3/1935,15,"Member | Science / Technology (Chair), Transportation"
D-GA-4,Rep Hank Johnson ,US Representative,Democrat,67,10/2/1954,9,"Senior Whip | Judiciary, Transportation, Oversight"
R-LA-4,Rep Mike Johnson ,US Representative,Republican,50,1/30/1972,4,"Assistant Whip, House Republican Conference Vice Chair, Member, Vice Chair | Judiciary, Armed Services"
D-NY-17,Outgoing Rep Mondaire Jones ,US Representative,Democrat,34,5/18/1987,1,"Freshman Representative | Judiciary, Education, Ethics"
R-OH-4,Rep Jim Jordan ,US Representative,Republican,58,2/17/1964,9,"Chair, Oversight and Accountability | Judiciary (Ranking Member), Oversight"
R-OH-14,Rep Dave Joyce ,US Representative,Republican,64,3/17/1957,6,"Ohio Representative | Appropriations, Ethics, Modernization of Congress"
R-PA-13,Rep John Joyce ,US Representative,Republican,65,2/8/1957,3,Member | Energy
D-HI-2,Outgoing Rep Kai Kahele ,US Representative,Democrat,47,3/28/1974,1,"Armed Services, Transportation"
D-CA-37,Rep elect Sydney Kamlager-Dove ,US Representative,Democrat,50,May-72,1,
D-OH-9,Rep Marcy Kaptur ,US Representative,Democrat,75,6/17/1946,21,"Member | Appropriations, Agriculture, Veterans' Affairs, Economic Disparity and Fairness in Growth"
R-NY-24,Outgoing Rep John Katko ,US Representative,Republican,59,11/9/1962,4,"Chair, Vice Chair for Member Services | Homeland Security (Ranking Member), Transportation"
R-NJ-7,Rep elect Tom Kean ,US Representative,Republican,54,9/5/1968,1,
D-MA-9,Rep Bill Keating ,US Representative,Democrat,69,9/6/1952,7,"Armed Services, Foreign Affairs"
R-PA-12,Outgoing Rep Fred Keller ,US Representative,Republican,56,10/23/1965,2,"Assistant Whip, Member | Education, Oversight"
R-PA-16,Rep Mike Kelly ,US Representative,Republican,73,5/10/1948,7,"Member, Region II Representative | Ways and Means"
D-IL-2,Rep Robin Kelly ,US Representative,Democrat,65,4/30/1956,6,"Co-Chair, Member | Energy (Vice Chair), Oversight"
R-MS-1,Rep Trent Kelly ,US Representative,Republican,56,3/1/1966,5,"Armed Services, Intelligence, Agriculture"
D-CA-17,Rep Ro Khanna ,US Representative,Democrat,45,9/13/1976,4,"Member | Armed Services, Agriculture, Oversight"
R-VA-2,Rep elect Jen Kiggans ,US Representative,Republican,51,5/18/1971,1,
D-MI-5,Rep Dan Kildee ,US Representative,Democrat,63,8/11/1958,6,"Chair, Chief Deputy Majority Whip, Co-Chair | Ways and Means, Budget, Science / Technology"
R-CA-3,Rep elect Kevin Kiley ,US Representative,Republican,37,1/30/1985,1,
D-WA-6,Rep Derek Kilmer ,US Representative,Democrat,48,1/1/1974,6,"Member | Modernization of Congress (Chair), Appropriations"
D-NJ-3,Rep Andy Kim ,US Representative,Democrat,39,7/12/1982,3,"Member | Armed Services, Foreign Affairs, Small Business"
R-CA-39,Rep Young Kim ,US Representative,Republican,59,10/18/1962,2,"Member | Foreign Affairs, Small Business, Science / Technology"
D-WI-3,Outgoing Rep Ron Kind ,US Representative,Democrat,58,3/16/1963,13,Ways and Means
R-IL-16,Outgoing Rep Adam Kinzinger ,US Representative,Republican,44,2/27/1978,6,"Energy, Foreign Affairs, U.S. Capitol"
D-AZ-2,Outgoing Rep Ann Kirkpatrick ,US Representative,Democrat,71,3/24/1950,2,Member | Appropriations
D-IL-8,Rep Raja Krishnamoorthi ,US Representative,Democrat,48,7/19/1973,4,"Member | Intelligence, Oversight"
D-NH-2,Rep Annie Kuster ,US Representative,Democrat,65,9/5/1956,6,"Member | Energy, Agriculture"
R-TN-8,Rep David Kustoff ,US Representative,Republican,55,10/8/1966,4,Ways and Means
R-IL-18,Rep Darin LaHood ,US Representative,Republican,53,7/5/1968,5,"Member, Vice Chair for Finance | Ways and Means, Intelligence"
R-NY-1,Rep elect Nick LaLota ,US Representative,Republican,44,5/23/1978,1,
R-CA-1,Rep Doug LaMalfa ,US Representative,Republican,61,7/2/1960,6,"Agriculture, Transportation"
D-PA-17,Outgoing Rep Conor Lamb ,US Representative,Democrat,37,6/27/1984,3,"Transportation, Veterans' Affairs, Science / Technology"
R-CO-5,Rep Doug Lamborn ,US Representative,Republican,67,5/24/1954,9,"Armed Services, Natural Resources"
D-OH-1,Rep elect Greg Landsman ,US Representative,Democrat,46,12/4/1976,1,
D-RI-2,Outgoing Rep Jim Langevin ,US Representative,Democrat,57,4/22/1964,11,"Senior Whip | Armed Services, Homeland Security"
R-NY-23,Rep elect Nick Langworthy ,US Representative,Republican,41,2/27/1981,1,
D-WA-2,Rep Rick Larsen ,US Representative,Democrat,56,6/15/1965,12,"Armed Services, Transportation"
D-CT-1,Rep John Larson ,US Representative,Democrat,73,7/22/1948,13,Ways and Means
R-OH-5,Rep Bob Latta ,US Representative,Republican,65,4/18/1956,9,"Member | Energy, Modernization of Congress"
R-KS-2,Rep Jake LaTurner ,US Representative,Republican,34,2/17/1988,2,"Assistant Whip, Member | Homeland Security, Science / Technology, Oversight"
R-NY-17,Rep elect Michael Lawler ,US Representative,Republican,36,9/9/1986,1,
D-MI-14,Outgoing Rep Brenda Lawrence ,US Representative,Democrat,67,10/18/1954,4,"Co-Chair | Appropriations (Vice Chair), Oversight"
D-FL-5,Outgoing Rep Al Lawson ,US Representative,Democrat,73,9/21/1948,3,"Financial Services, Agriculture"
D-CA-13,Rep Barbara Lee ,US Representative,Democrat,75,7/16/1946,14,"Co-Chair, Member | Appropriations, Budget"
R-FL-15,Rep elect Laurel Lee ,US Representative,Republican,48,3/26/1974,1,
D-PA-12,Rep elect Summer Lee ,US Representative,Democrat,35,11/26/1987,1,
D-NV-3,Rep Susie Lee ,US Representative,Democrat,55,11/7/1966,3,Member | Appropriations
D-NM-3,Rep Teresa Leger Fernandez ,US Representative,Democrat,62,7/1/1959,2,"Member | Natural Resources, Education, House Administration, Printing"
R-AZ-8,Rep Debbie Lesko ,US Representative,Republican,63,11/14/1958,4,"Assistant Whip, Leader Designee, Member | Energy"
R-LA-5,Rep Julia Letlow ,US Representative,Republican,40,3/16/1981,2,Member | Appropriations
D-MI-9,Outgoing Rep Andy Levin ,US Representative,Democrat,61,8/10/1960,2,"Education (Vice Chair), Foreign Affairs"
D-CA-49,Rep Mike Levin ,US Representative,Democrat,43,10/20/1978,3,"Member | Veterans' Affairs (Vice Chair), Natural Resources, Climate Crisis"
D-CA-33,Rep Ted Lieu ,US Representative,Democrat,52,3/29/1969,5,"Co-Chair, Democratic Caucus Vice Chair, Member, Policy and Communications Committee Co-Chair, Vice Chair | Judiciary, Foreign Affairs"
D-CA-19,Rep Zoe Lofgren ,US Representative,Democrat,74,12/21/1947,15,"Member | House Administration (Chair), Library (Chair), Printing (Vice Chair), Judiciary, Science / Technology, U.S. Capitol, Modernization of Congress"
R-MO-7,Outgoing Rep Billy Long ,US Representative,Republican,66,8/11/1955,6,Member | Energy
R-GA-11,Rep Barry Loudermilk ,US Representative,Republican,58,12/22/1963,5,"Member, Region IV Representative | Financial Services, House Administration, Printing, Library"
D-CA-47,Outgoing Rep Alan Lowenthal ,US Representative,Democrat,81,3/8/1941,5,"Natural Resources, Transportation"
R-OK-3,Rep Frank Lucas ,US Representative,Republican,62,1/6/1960,16,"Science / Technology (Ranking Member), Financial Services"
R-MO-3,Rep Blaine Luetkemeyer ,US Representative,Republican,69,5/7/1952,8,"Member, Region X Representative | Small Business (Ranking Member), Financial Services"
R-FL-13,Rep elect Anna Luna ,US Representative,Republican,33,5/6/1989,1,
D-VA-2,Outgoing Rep Elaine Luria ,US Representative,Democrat,46,8/15/1975,2,"Member | Armed Services (Vice Chair), Homeland Security, Veterans' Affairs, U.S. Capitol"
R-TX-8,Rep elect Morgan Luttrell ,US Representative,Republican,47,11/7/1975,1,
D-MA-8,Rep Stephen Lynch ,US Representative,Democrat,66,3/31/1955,12,"Financial Services, Transportation, Oversight"
R-SC-1,Rep Nancy Mace ,US Representative,Republican,44,12/4/1977,2,"Member, Vice Chair - 117th Class Representative | Transportation, Veterans' Affairs, Oversight"
D-RI-2,Rep elect Seth Magaziner ,US Representative,Democrat,39,7/22/1983,1,
D-NJ-7,Outgoing Rep Tom Malinowski ,US Representative,Democrat,56,9/23/1965,2,"Member | Foreign Affairs (Vice Chair), Homeland Security, Transportation"
R-NY-11,Rep Nicole Malliotakis ,US Representative,Republican,41,11/11/1980,2,"Assistant Whip, Member | Foreign Affairs, Transportation"
D-NY-12,Outgoing Rep Carolyn Maloney ,US Representative,Democrat,76,2/19/1946,15,"Member | Oversight (Chair), Financial Services"
D-NY-18,Outgoing Rep Sean Maloney ,US Representative,Democrat,55,7/30/1966,5,"Chair | Intelligence, Agriculture, Transportation"
R-KS-1,Rep Tracey Mann ,US Representative,Republican,45,12/17/1976,2,"Agriculture, Veterans' Affairs"
D-NC-6,Rep Kathy Manning ,US Representative,Democrat,65,12/3/1956,2,"Member | Foreign Affairs, Education"
R-KY-4,Rep Thomas Massie ,US Representative,Republican,51,1/13/1971,7,"Judiciary, Transportation"
R-FL-18,Rep Brian Mast ,US Representative,Republican,41,7/10/1980,4,"Member | Foreign Affairs, Transportation"
D-CA-6,Rep Doris Matsui ,US Representative,Democrat,77,9/25/1944,10,Member | Energy
D-GA-6,Rep Lucy McBath ,US Representative,Democrat,61,6/1/1960,3,"Member | Judiciary, Education"
R-CA-23,Leader Kevin McCarthy ,US Representative,Republican,57,1/26/1965,9,"House Minority Leader, Republican Leader, Speaker of the House"
R-TX-10,Rep Michael McCaul ,US Representative,Republican,60,1/14/1962,10,"Chair, Member | Foreign Affairs (Ranking Member), Homeland Security"
R-MI-10,Rep Lisa McClain ,US Representative,Republican,55,4/7/1966,2,"Member, Secretary | Armed Services, Education"
R-CA-4,Rep Tom McClintock ,US Representative,Republican,65,7/10/1956,8,"Member | Budget, Judiciary, Natural Resources"
D-MN-4,Rep Betty McCollum ,US Representative,Democrat,67,7/12/1954,12,"Member | Appropriations, Natural Resources"
R-GA-6,Rep elect Richard McCormick ,US Representative,Republican,75,7/20/1947,1,
D-KY-3,Rep elect Morgan McGarvey ,US Representative,Democrat,43,12/23/1979,1,Minority Floor Leader
D-MA-2,Rep Jim McGovern ,US Representative,Democrat,62,11/20/1959,14,"Rules (Chair), Agriculture"
R-NC-10,Rep Patrick McHenry ,US Representative,Republican,46,10/22/1975,10,"Chair, Region III Representative | Financial Services (Ranking Member)"
R-WV-1,Outgoing Rep David McKinley ,US Representative,Republican,74,3/28/1947,6,Member | Energy
R-WA-5,Rep Cathy McMorris Rodgers ,US Representative,Republican,52,5/22/1969,10,"Chair, Member, Region XI Representative | Energy (Ranking Member)"
D-CA-9,Outgoing Rep Jerry McNerney ,US Representative,Democrat,70,6/18/1951,8,"Energy, Science / Technology"
D-NY-5,Rep Gregory Meeks ,US Representative,Democrat,68,9/25/1953,14,"Foreign Affairs (Chair), Financial Services"
R-MI-3,Outgoing Rep Peter Meijer ,US Representative,Republican,34,1/10/1988,1,"Foreign Affairs, Homeland Security, Science / Technology"
D-NJ-8,Rep elect Rob Menendez ,US Representative,Democrat,37,7/12/1985,1,
D-NY-6,Rep Grace Meng ,US Representative,Democrat,46,10/1/1975,6,"Member, Organization, Study, and Review Chair | Appropriations"
R-PA-9,Rep Dan Meuser ,US Representative,Republican,58,2/10/1964,3,"Foreign Affairs, Small Business"
D-MD-7,Rep Kweisi Mfume ,US Representative,Democrat,73,10/24/1948,3,"Small Business (Vice Chair), Education, Oversight"
R-WV-3,Rep Carol Miller ,US Representative,Republican,71,11/4/1950,3,"Assistant Whip, Vice Chair for Recruitment | Ways and Means, Climate Crisis"
R-IL-15,Rep Mary Miller ,US Representative,Republican,62,8/27/1959,2,"Member | Agriculture, Education"
R-OH-7,Rep elect Max Miller ,US Representative,Republican,34,11/13/1988,1,118th Class Representative
R-IA-2,Rep Mariannette Miller-Meeks ,US Representative,Republican,66,9/6/1955,2,"Chair, Member | Education, Homeland Security, Veterans' Affairs"
R-FL-7,Rep elect Cory Mills ,US Representative,Republican,42,7/13/1980,1,
R-NY-19,Rep elect Marc Molinaro ,US Representative,Republican,47,10/8/1975,1,
R-MI-4,Rep John Moolenaar ,US Representative,Republican,60,5/8/1961,5,Appropriations
R-WV-2,Rep Alex Mooney ,US Representative,Republican,50,6/7/1971,5,Member | Financial Services
R-AL-2,Rep Barry Moore ,US Representative,Republican,55,9/26/1966,2,"Agriculture, Veterans' Affairs"
R-UT-1,Rep Blake Moore ,US Representative,Republican,41,6/22/1980,2,"Assistant Whip, Member | Budget, Armed Services, Natural Resources"
D-WI-4,Rep Gwen Moore ,US Representative,Democrat,70,4/18/1951,10,"Co-Chair, Member, Vice Chair | Ways and Means, Science / Technology, Economic Disparity and Fairness in Growth"
R-TX-1,Rep elect Nathaniel Moran ,US Representative,Republican,48,7/22/1974,1,
D-NY-25,Rep Joe Morelle ,US Representative,Democrat,64,4/29/1957,4,"Rules, Appropriations, Budget"
D-FL-23,Rep elect Jared Moskowitz ,US Representative,Democrat,42,12/18/1942,1,
D-MA-6,Rep Seth Moulton ,US Representative,Democrat,43,10/24/1978,5,"Budget, Armed Services, Transportation"
D-IN-1,Rep Frank Mrvan ,US Representative,Democrat,52,4/16/1969,2,"Education, Veterans' Affairs"
