Age of Members of 117th Congress,Title,Party,Age,Birthday,Number of Terms,Committee List
Rep. Warren Davidson (R-OH-8),US Representative,Republican,52,3/1/1970,5,"Member | Financial Services, Economic Disparity and Fairness in Growth"
Rep. Danny Davis (D-IL-7),US Representative,Democrat,80,9/6/1941,14,"Ways and Means, Oversight"
Rep.-elect Don Davis (D-NC-1),US Representative,Democrat,51,8/29/1971,1,
Outgoing Rep. Rodney Davis (R-IL-13),US Representative,Republican,52,1/5/1970,5,"House Administration (Ranking Member), Agriculture, Transportation, Printing, Library, Modernization of Congress"
Rep. Madeleine Dean (D-PA-4),US Representative,Democrat,62,6/6/1959,3,"Member, Vice Chair | Judiciary (Vice Chair), Financial Services"
Outgoing Rep. Peter DeFazio (D-OR-4),US Representative,Democrat,74,5/27/1947,18,Transportation (Chair)
Rep. Diana DeGette (D-CO-1),US Representative,Democrat,64,7/29/1957,14,"Member | Energy, Natural Resources"
Rep.-elect Monica De la Cruz Hernandez (R-TX-15),US Representative,Republican,48,9/11/1974,1,
Rep. Rosa DeLauro (D-CT-3),US Representative,Democrat,79,3/2/1943,17,"Co-Chair, Member | Appropriations (Chair)"
Rep. Suzan DelBene (D-WA-1),US Representative,Democrat,60,2/17/1962,7,"Chair, Co-Chair, Member | Ways and Means (Vice Chair)"
Rep.-elect Christopher Deluzio (D-PA-17),US Representative,Democrat,38,7/13/1984,1,
Outgoing Rep. Val Demings (D-FL-10),US Representative,Democrat,65,3/12/1957,3,"Co-Chair, Member | Judiciary, Intelligence, Homeland Security"
Rep. Mark DeSaulnier (D-CA-11),US Representative,Democrat,69,3/31/1952,5,"Rules (Vice Chair), Education, Transportation, Oversight"
Rep. Scott DesJarlais (R-TN-4),US Representative,Republican,58,2/21/1964,7,"Armed Services, Agriculture"
Rep.-elect Anthony D'Esposito (R-NY-4),US Representative,Republican,40,2/22/1982,1,
Rep.-elect George Devolder-Santos (R-NY-3),US Representative,Republican,34,7/22/1988,1,
Rep. Mario Diaz-Balart (R-FL-25),US Representative,Republican,60,9/25/1961,11,"Member, Vice Chair for Redistricting | Appropriations"
Rep. Debbie Dingell (D-MI-12),US Representative,Democrat,68,11/23/1953,5,"Co-Chair, Finance Co-Chair, Member, Policy and Communications Committee Co-Chair | Energy, Natural Resources"
Rep. Lloyd Doggett (D-TX-35),US Representative,Democrat,75,10/6/1946,15,"Ways and Means, Budget, Taxation"
Rep. Byron Donalds (R-FL-19),US Representative,Republican,43,10/28/1978,2,"Member | Budget, Small Business, Oversight, Economic Disparity and Fairness in Growth"
Outgoing Rep. Mike Doyle (D-PA-18),US Representative,Democrat,68,8/5/1953,14,Energy
Rep.-elect John Duarte (R-CA-13),US Representative,Republican,56,9/9/1966,1,
Rep. Jeff Duncan (R-SC-3),US Representative,Republican,56,1/7/1966,7,Member | Energy
Rep. Neal Dunn (R-FL-2),US Representative,Republican,69,2/16/1953,4,Member | Energy
Rep.-elect Chuck Edwards (R-NC-11),US Representative,Republican,62,9/13/1960,1,
Rep. Jake Ellzey (R-TX-6),US Representative,Republican,52,1/24/1970,2,"Veterans' Affairs, Science / Technology"
Whip Tom Emmer (R-MN-6),US Representative,Republican,61,3/3/1961,5,"Chairman, House Majority Whip, NRCC Chairman | Financial Services"
Rep. Veronica Escobar (D-TX-16),US Representative,Democrat,52,9/15/1969,3,"Co-Chair, Policy and Communications Committee Co-Chair, Vice Chair | Judiciary, Armed Services, Ethics, Climate Crisis"
Rep. Anna Eshoo (D-CA-18),US Representative,Democrat,79,12/13/1942,16,Energy
Rep. Adriano Espaillat (D-NY-13),US Representative,Democrat,67,9/27/1954,4,"Appropriations, Education"
Rep. Ron Estes (R-KS-4),US Representative,Republican,65,7/19/1956,4,"Ways and Means, Economy"
Rep. Dwight Evans (D-PA-3),US Representative,Democrat,67,5/16/1954,5,"Ways and Means, Small Business"
Rep.-elect Mike Ezell (R-MS-4),US Representative,Republican,63,4/6/1959,1,
Rep. Pat Fallon (R-TX-4),US Representative,Republican,54,12/19/1967,2,"Armed Services, Oversight"
Rep. Randy Feenstra (R-IA-4),US Representative,Republican,53,1/14/1969,2,"Member | Budget, Agriculture, Science / Technology"
Rep. Drew Ferguson (R-GA-3),US Representative,Republican,55,11/15/1966,4,"Chief Deputy Minority Whip, Chief Deputy Whip | Ways and Means"
Rep. Brad Finstad (R-MN-1),US Representative,Republican,46,5/30/1976,2,"Agriculture, Education"
Rep. Michelle Fischbach (R-MN-7),US Representative,Republican,56,11/3/1965,2,"Rules, Judiciary, Agriculture"
Rep. Scott Fitzgerald (R-WI-5),US Representative,Republican,58,11/16/1963,2,"Member | Judiciary, Education, Small Business"
Rep. Brian Fitzpatrick (R-PA-1),US Representative,Republican,48,12/17/1973,4,"Foreign Affairs, Intelligence, Transportation"
Rep. Chuck Fleischmann (R-TN-3),US Representative,Republican,59,10/11/1962,7,Appropriations
Rep. Lizzie Fletcher (D-TX-7),US Representative,Democrat,47,2/13/1975,3,"Member | Energy, Science / Technology"
Rep. Mike Flood (R-NE-1),US Representative,Republican,47,2/23/1975,2,"Small Business, Oversight"
Rep. Mayra Flores (R-TX-34),US Representative,Republican,36,1/1/1986,1,"Agriculture, Homeland Security"
Rep. Bill Foster (D-IL-11),US Representative,Democrat,66,10/7/1955,6,"Financial Services, Science / Technology"
Rep.-elect Valerie Foushee (D-NC-4),US Representative,Democrat,66,5/7/1956,1,
Rep. Virginia Foxx (R-NC-5),US Representative,Republican,78,6/29/1943,10,"Education (Ranking Member), Oversight"
Rep. Lois Frankel (D-FL-21),US Representative,Democrat,73,5/16/1948,6,"Co-Chair | Appropriations, Veterans' Affairs"
Rep. Scott Franklin (R-FL-15),US Representative,Republican,57,8/23/1964,2,"Armed Services, Oversight"
Rep.-elect Maxwell Frost (D-FL-10),US Representative,Democrat,25,1/17/1997,1,
Rep.-elect Russell Fry (R-SC-7),US Representative,Republican,37,1/31/1985,1,
Rep. Russ Fulcher (R-ID-1),US Representative,Republican,60,3/9/1962,3,"Member | Natural Resources, Education"
Rep. Matt Gaetz (R-FL-1),US Representative,Republican,39,5/7/1982,4,"Judiciary, Armed Services"
Rep. Mike Gallagher (R-WI-8),US Representative,Republican,38,3/3/1984,4,"Member | Armed Services, Intelligence, Transportation"
Rep. Ruben Gallego (D-AZ-7),US Representative,Democrat,42,11/20/1979,5,"Armed Services, Natural Resources, Veterans' Affairs"
Rep. John Garamendi (D-CA-3),US Representative,Democrat,77,1/24/1945,8,"Armed Services, Transportation"
Rep. Andrew Garbarino (R-NY-2),US Representative,Republican,37,9/27/1984,2,"Member | Homeland Security, Small Business"
Rep. Chuy Garcia (D-IL-4),US Representative,Democrat,65,4/12/1956,3,"Regional Whip | Natural Resources (Vice Chair), Financial Services, Transportation"
Rep. Mike Garcia (R-CA-25),US Representative,Republican,45,4/24/1976,3,"Member | Appropriations, Science / Technology"
Rep. Sylvia Garcia (D-TX-29),US Representative,Democrat,71,9/6/1950,3,"Vice Chair | Financial Services, Judiciary, Armed Services"
Outgoing Rep. Bob Gibbs (R-OH-7),US Representative,Republican,67,6/14/1954,6,"Transportation, Oversight"
Rep. Carlos Gimenez (R-FL-26),US Representative,Republican,68,1/17/1954,2,"Assistant Whip, Member | Homeland Security, Transportation, Science / Technology"
Rep.-elect Kristina Gluesenkamp Perez (D-WA-3),US Representative,Democrat,34,6/6/1988,1,
Outgoing Rep. Louie Gohmert (R-TX-1),US Representative,Republican,68,8/18/1953,9,"Natural Resources (Assistant Ranking Minority Member), Judiciary"
Rep. Jared Golden (D-ME-2),US Representative,Democrat,39,7/25/1982,3,"Member | Armed Services, Small Business"
Rep.-elect Daniel Goldman (D-NY-10),US Representative,Democrat,46,2/26/1976,1,
Rep. Jimmy Gomez (D-CA-34),US Representative,Democrat,47,11/25/1974,4,"Vice Chair | Oversight (Vice Chair), Ways and Means"
Rep. Tony Gonzales (R-TX-23),US Representative,Republican,41,10/10/1980,2,"Assistant Whip, Member | Appropriations"
Outgoing Rep. Anthony Gonzalez (R-OH-16),US Representative,Republican,37,9/18/1984,2,"Member | Financial Services, Science / Technology, Climate Crisis"
Rep. Vicente Gonzalez (D-TX-15),US Representative,Democrat,54,9/4/1967,4,"Financial Services, Foreign Affairs, Economic Disparity and Fairness in Growth"
Commish. Jenniffer González-Colón (PNP-PR-1),US Resident Commissioner,New Progressive Party,45,8/5/1976,2,"Member | Natural Resources (Ranking Member), Transportation"
Rep. Bob Good (R-VA-5),US Representative,Republican,56,9/11/1965,2,"Budget, Education"
Rep. Lance Gooden (R-TX-5),US Representative,Republican,39,12/1/1982,3,Financial Services
Rep. Paul Gosar (R-AZ-4),US Representative,Republican,63,11/27/1958,7,
Rep. Josh Gottheimer (D-NJ-5),US Representative,Democrat,47,3/8/1975,4,"Member | Financial Services, Homeland Security"
Rep. Kay Granger (R-TX-12),US Representative,Republican,79,1/18/1943,14,Member | Appropriations (Ranking Member)
Rep. Garret Graves (R-LA-6),US Representative,Republican,50,1/31/1972,5,"Chair | Climate Crisis (Ranking Member), Natural Resources, Transportation"
Rep. Sam Graves (R-MO-6),US Representative,Republican,58,11/7/1963,12,"Transportation (Ranking Member), Armed Services"
Rep. Al Green (D-TX-9),US Representative,Democrat,74,9/1/1947,10,"Financial Services, Homeland Security"
Rep. Mark Green (R-TN-7),US Representative,Republican,57,11/8/1964,3,"Member | Armed Services, Foreign Affairs"
Rep. Marjorie Taylor Greene (R-GA-14),US Representative,Republican,47,5/27/1974,2,Member
Rep. Morgan Griffith (R-VA-9),US Representative,Republican,64,3/15/1958,7,Member | Energy
Rep. Raúl Grijalva (D-AZ-3),US Representative,Democrat,74,2/19/1948,11,"Natural Resources (Chair), Education"
Rep. Glenn Grothman (R-WI-6),US Representative,Republican,66,7/3/1955,5,"Budget, Education, Oversight"
Rep. Michael Guest (R-MS-3),US Representative,Republican,52,2/4/1970,3,"Ethics (Ranking Member), Homeland Security, Transportation"
Rep. Brett Guthrie (R-KY-2),US Representative,Republican,58,2/18/1964,8,Co-Chair | Energy
Rep.-elect Harriet Hageman (R-WY-1),US Representative,Republican,60,10/18/1962,1,Freshman Policy Chair
Rep. Josh Harder (D-CA-10),US Representative,Democrat,35,8/1/1986,3,"Member | Appropriations, Agriculture"
Rep. Andy Harris (R-MD-1),US Representative,Republican,65,1/5/1957,7,Appropriations
Rep. Diana Harshbarger (R-TN-1),US Representative,Republican,62,1/1/1960,2,"Assistant Whip, Member | Education, Homeland Security"
Outgoing Rep. Vicky Hartzler (R-MO-4),US Representative,Republican,61,10/13/1960,6,"Armed Services, Agriculture"
Rep. Jahana Hayes (D-CT-5),US Representative,Democrat,49,3/8/1973,3,"Member | Agriculture, Education"
Rep. Kevin Hern (R-OK-1),US Representative,Republican,60,12/4/1961,4,"Chair, Member | Ways and Means"
Outgoing Rep. Yvette Herrell (R-NM-2),US Representative,Republican,57,3/16/1964,1,"Member | Natural Resources, Oversight"
Outgoing Rep. Jaime Herrera Beutler (R-WA-3),US Representative,Republican,43,11/3/1978,6,"Appropriations, Economy"
Outgoing Rep. Jody Hice (R-GA-10),US Representative,Republican,61,4/22/1960,4,"Natural Resources, Oversight"
Rep. Brian Higgins (D-NY-26),US Representative,Democrat,62,10/6/1959,10,"Ways and Means, Budget"
Rep. Clay Higgins (R-LA-3),US Representative,Republican,60,8/24/1961,4,"Homeland Security, Oversight"
Rep. French Hill (R-AR-2),US Representative,Republican,65,12/5/1956,5,"Member, Vice Chair for Policy | Financial Services"
Rep. Jim Himes (D-CT-4),US Representative,Democrat,55,7/5/1966,8,"Co-Chair | Economic Disparity and Fairness in Growth (Chair), Financial Services, Intelligence"
Rep. Ashley Hinson (R-IA-1),US Representative,Republican,38,6/27/1983,2,"Member | Appropriations, Budget"
Outgoing Rep. Trey Hollingsworth (R-IN-9),US Representative,Republican,38,9/12/1983,3,Financial Services
Rep. Steven Horsford (D-NV-4),US Representative,Democrat,48,4/29/1973,3,"Member | Ways and Means, Budget, Armed Services"
Rep.-elect Erin Houchin (R-IN-9),US Representative,Republican,46,9/24/1976,1,
Rep. Chrissy Houlahan (D-PA-6),US Representative,Democrat,54,6/5/1967,3,"Member | Armed Services, Foreign Affairs, Small Business"
Leader Steny Hoyer (D-MD-5),US Representative,Democrat,82,6/14/1939,22,House Majority Leader
Rep.-elect Val Hoyle (D-OR-4),US Representative,Democrat,58,2/14/1964,1,
Rep. Richard Hudson (R-NC-8),US Representative,Republican,50,11/4/1971,6,"Chair, Chairman, Deputy Republican Whip, House Republican Conference Secretary, Member, Secretary, Vice Chair for Patriot | Energy"
Rep. Jared Huffman (D-CA-2),US Representative,Democrat,58,2/18/1964,6,"Natural Resources, Transportation, Climate Crisis"
Rep. Bill Huizenga (R-MI-2),US Representative,Republican,53,1/31/1969,7,Member | Financial Services
Rep.-elect Wesley Hunt (R-TX-38),US Representative,Republican,41,9/13/1981,1,
Rep. Darrell Issa (R-CA-50),US Representative,Republican,68,11/1/1953,2,"Judiciary, Foreign Affairs"
Rep.-elect Glenn Ivey (D-MD-4),US Representative,Democrat,61,2/27/1961,1,
Rep.-elect Jeff Jackson (D-NC-14),US Representative,Democrat,40,9/12/1982,1,
Rep.-elect Jonathan Jackson (D-IL-1),US Representative,Democrat,56,1/7/1966,1,
Rep. Ronny Jackson (R-TX-13),US Representative,Republican,54,5/4/1967,2,"Assistant Whip | Armed Services, Foreign Affairs"
Rep. Sheila Jackson Lee (D-TX-18),US Representative,Democrat,72,1/12/1950,15,"Chief Deputy Majority Whip, Chief Deputy Whip, Member | Budget, Judiciary, Homeland Security"
Outgoing Rep. Chris Jacobs (R-NY-27),US Representative,Republican,55,11/28/1966,2,"Agriculture, Education"
Rep. Sara Jacobs (D-CA-53),US Representative,Democrat,33,2/1/1989,2,"Caucus Leadership Representative of Five Terms or Less, Member, Vice Chair | Armed Services, Foreign Affairs, Economic Disparity and Fairness in Growth"
Rep.-elect John James (R-MI-10),US Representative,Republican,41,6/8/1981,1,
Rep. Pramila Jayapal (D-WA-7),US Representative,Democrat,56,9/21/1965,4,"Member | Budget, Judiciary, Education, Economic Disparity and Fairness in Growth"
Leader Hakeem Jeffries (D-NY-8),US Representative,Democrat,51,8/4/1970,6,"Chair, Chairman, Democratic Caucus Chair, House Minority Leader, Member | Budget, Judiciary"
Rep. Bill Johnson (R-OH-6),US Representative,Republican,67,11/10/1954,7,Member | Energy
Rep. Dusty Johnson (R-SD-1),US Representative,Republican,45,9/30/1976,3,"Member | Agriculture, Transportation"
Outgoing Rep. Eddie Johnson (D-TX-30),US Representative,Democrat,86,12/3/1935,15,"Member | Science / Technology (Chair), Transportation"
Rep. Hank Johnson (D-GA-4),US Representative,Democrat,67,10/2/1954,9,"Senior Whip | Judiciary, Transportation, Oversight"
Rep. Mike Johnson (R-LA-4),US Representative,Republican,50,1/30/1972,4,"Assistant Whip, House Republican Conference Vice Chair, Member, Vice Chair | Judiciary, Armed Services"
Outgoing Rep. Mondaire Jones (D-NY-17),US Representative,Democrat,34,5/18/1987,1,"Freshman Representative | Judiciary, Education, Ethics"
Rep. Jim Jordan (R-OH-4),US Representative,Republican,58,2/17/1964,9,"Chair, Oversight and Accountability | Judiciary (Ranking Member), Oversight"
Rep. Dave Joyce (R-OH-14),US Representative,Republican,64,3/17/1957,6,"Ohio Representative | Appropriations, Ethics, Modernization of Congress"
Rep. John Joyce (R-PA-13),US Representative,Republican,65,2/8/1957,3,Member | Energy
Outgoing Rep. Kai Kahele (D-HI-2),US Representative,Democrat,47,3/28/1974,1,"Armed Services, Transportation"
Rep.-elect Sydney Kamlager-Dove (D-CA-37),US Representative,Democrat,50,May-72,1,
Rep. Marcy Kaptur (D-OH-9),US Representative,Democrat,75,6/17/1946,21,"Member | Appropriations, Agriculture, Veterans' Affairs, Economic Disparity and Fairness in Growth"
Outgoing Rep. John Katko (R-NY-24),US Representative,Republican,59,11/9/1962,4,"Chair, Vice Chair for Member Services | Homeland Security (Ranking Member), Transportation"
Rep.-elect Tom Kean (R-NJ-7),US Representative,Republican,54,9/5/1968,1,
Rep. Bill Keating (D-MA-9),US Representative,Democrat,69,9/6/1952,7,"Armed Services, Foreign Affairs"
Outgoing Rep. Fred Keller (R-PA-12),US Representative,Republican,56,10/23/1965,2,"Assistant Whip, Member | Education, Oversight"
Rep. Mike Kelly (R-PA-16),US Representative,Republican,73,5/10/1948,7,"Member, Region II Representative | Ways and Means"
Rep. Robin Kelly (D-IL-2),US Representative,Democrat,65,4/30/1956,6,"Co-Chair, Member | Energy (Vice Chair), Oversight"
Rep. Trent Kelly (R-MS-1),US Representative,Republican,56,3/1/1966,5,"Armed Services, Intelligence, Agriculture"
Rep. Ro Khanna (D-CA-17),US Representative,Democrat,45,9/13/1976,4,"Member | Armed Services, Agriculture, Oversight"
Rep.-elect Jen Kiggans (R-VA-2),US Representative,Republican,51,5/18/1971,1,
Rep. Dan Kildee (D-MI-5),US Representative,Democrat,63,8/11/1958,6,"Chair, Chief Deputy Majority Whip, Co-Chair | Ways and Means, Budget, Science / Technology"
Rep.-elect Kevin Kiley (R-CA-3),US Representative,Republican,37,1/30/1985,1,
Rep. Derek Kilmer (D-WA-6),US Representative,Democrat,48,1/1/1974,6,"Member | Modernization of Congress (Chair), Appropriations"
Rep. Andy Kim (D-NJ-3),US Representative,Democrat,39,7/12/1982,3,"Member | Armed Services, Foreign Affairs, Small Business"
Rep. Young Kim (R-CA-39),US Representative,Republican,59,10/18/1962,2,"Member | Foreign Affairs, Small Business, Science / Technology"
Outgoing Rep. Ron Kind (D-WI-3),US Representative,Democrat,58,3/16/1963,13,Ways and Means
Outgoing Rep. Adam Kinzinger (R-IL-16),US Representative,Republican,44,2/27/1978,6,"Energy, Foreign Affairs, U.S. Capitol"
Outgoing Rep. Ann Kirkpatrick (D-AZ-2),US Representative,Democrat,71,3/24/1950,2,Member | Appropriations
Rep. Raja Krishnamoorthi (D-IL-8),US Representative,Democrat,48,7/19/1973,4,"Member | Intelligence, Oversight"
Rep. Annie Kuster (D-NH-2),US Representative,Democrat,65,9/5/1956,6,"Member | Energy, Agriculture"
Rep. David Kustoff (R-TN-8),US Representative,Republican,55,10/8/1966,4,Ways and Means
Rep. Darin LaHood (R-IL-18),US Representative,Republican,53,7/5/1968,5,"Member, Vice Chair for Finance | Ways and Means, Intelligence"
Rep.-elect Nick LaLota (R-NY-1),US Representative,Republican,44,5/23/1978,1,
Rep. Doug LaMalfa (R-CA-1),US Representative,Republican,61,7/2/1960,6,"Agriculture, Transportation"
Outgoing Rep. Conor Lamb (D-PA-17),US Representative,Democrat,37,6/27/1984,3,"Transportation, Veterans' Affairs, Science / Technology"
Rep. Doug Lamborn (R-CO-5),US Representative,Republican,67,5/24/1954,9,"Armed Services, Natural Resources"
Rep.-elect Greg Landsman (D-OH-1),US Representative,Democrat,46,12/4/1976,1,
Outgoing Rep. Jim Langevin (D-RI-2),US Representative,Democrat,57,4/22/1964,11,"Senior Whip | Armed Services, Homeland Security"
Rep.-elect Nick Langworthy (R-NY-23),US Representative,Republican,41,2/27/1981,1,
Rep. Rick Larsen (D-WA-2),US Representative,Democrat,56,6/15/1965,12,"Armed Services, Transportation"
Rep. John Larson (D-CT-1),US Representative,Democrat,73,7/22/1948,13,Ways and Means
Rep. Bob Latta (R-OH-5),US Representative,Republican,65,4/18/1956,9,"Member | Energy, Modernization of Congress"
Rep. Jake LaTurner (R-KS-2),US Representative,Republican,34,2/17/1988,2,"Assistant Whip, Member | Homeland Security, Science / Technology, Oversight"
Rep.-elect Michael Lawler (R-NY-17),US Representative,Republican,36,9/9/1986,1,
Outgoing Rep. Brenda Lawrence (D-MI-14),US Representative,Democrat,67,10/18/1954,4,"Co-Chair | Appropriations (Vice Chair), Oversight"
Outgoing Rep. Al Lawson (D-FL-5),US Representative,Democrat,73,9/21/1948,3,"Financial Services, Agriculture"
Rep. Barbara Lee (D-CA-13),US Representative,Democrat,75,7/16/1946,14,"Co-Chair, Member | Appropriations, Budget"
Rep.-elect Laurel Lee (R-FL-15),US Representative,Republican,48,3/26/1974,1,
Rep.-elect Summer Lee (D-PA-12),US Representative,Democrat,35,11/26/1987,1,
Rep. Susie Lee (D-NV-3),US Representative,Democrat,55,11/7/1966,3,Member | Appropriations
Rep. Teresa Leger Fernandez (D-NM-3),US Representative,Democrat,62,7/1/1959,2,"Member | Natural Resources, Education, House Administration, Printing"
Rep. Debbie Lesko (R-AZ-8),US Representative,Republican,63,11/14/1958,4,"Assistant Whip, Leader Designee, Member | Energy"
Rep. Julia Letlow (R-LA-5),US Representative,Republican,40,3/16/1981,2,Member | Appropriations
Outgoing Rep. Andy Levin (D-MI-9),US Representative,Democrat,61,8/10/1960,2,"Education (Vice Chair), Foreign Affairs"
Rep. Mike Levin (D-CA-49),US Representative,Democrat,43,10/20/1978,3,"Member | Veterans' Affairs (Vice Chair), Natural Resources, Climate Crisis"
Rep. Ted Lieu (D-CA-33),US Representative,Democrat,52,3/29/1969,5,"Co-Chair, Democratic Caucus Vice Chair, Member, Policy and Communications Committee Co-Chair, Vice Chair | Judiciary, Foreign Affairs"
Rep. Zoe Lofgren (D-CA-19),US Representative,Democrat,74,12/21/1947,15,"Member | House Administration (Chair), Library (Chair), Printing (Vice Chair), Judiciary, Science / Technology, U.S. Capitol, Modernization of Congress"
Outgoing Rep. Billy Long (R-MO-7),US Representative,Republican,66,8/11/1955,6,Member | Energy
Rep. Barry Loudermilk (R-GA-11),US Representative,Republican,58,12/22/1963,5,"Member, Region IV Representative | Financial Services, House Administration, Printing, Library"
Outgoing Rep. Alan Lowenthal (D-CA-47),US Representative,Democrat,81,3/8/1941,5,"Natural Resources, Transportation"
Rep. Frank Lucas (R-OK-3),US Representative,Republican,62,1/6/1960,16,"Science / Technology (Ranking Member), Financial Services"
Rep. Blaine Luetkemeyer (R-MO-3),US Representative,Republican,69,5/7/1952,8,"Member, Region X Representative | Small Business (Ranking Member), Financial Services"
Rep.-elect Anna Luna (R-FL-13),US Representative,Republican,33,5/6/1989,1,
Outgoing Rep. Elaine Luria (D-VA-2),US Representative,Democrat,46,8/15/1975,2,"Member | Armed Services (Vice Chair), Homeland Security, Veterans' Affairs, U.S. Capitol"
Rep.-elect Morgan Luttrell (R-TX-8),US Representative,Republican,47,11/7/1975,1,
Rep. Stephen Lynch (D-MA-8),US Representative,Democrat,66,3/31/1955,12,"Financial Services, Transportation, Oversight"
Rep. Nancy Mace (R-SC-1),US Representative,Republican,44,12/4/1977,2,"Member, Vice Chair - 117th Class Representative | Transportation, Veterans' Affairs, Oversight"
Rep.-elect Seth Magaziner (D-RI-2),US Representative,Democrat,39,7/22/1983,1,
Outgoing Rep. Tom Malinowski (D-NJ-7),US Representative,Democrat,56,9/23/1965,2,"Member | Foreign Affairs (Vice Chair), Homeland Security, Transportation"
Rep. Nicole Malliotakis (R-NY-11),US Representative,Republican,41,11/11/1980,2,"Assistant Whip, Member | Foreign Affairs, Transportation"
Outgoing Rep. Carolyn Maloney (D-NY-12),US Representative,Democrat,76,2/19/1946,15,"Member | Oversight (Chair), Financial Services"
Outgoing Rep. Sean Maloney (D-NY-18),US Representative,Democrat,55,7/30/1966,5,"Chair | Intelligence, Agriculture, Transportation"
Rep. Tracey Mann (R-KS-1),US Representative,Republican,45,12/17/1976,2,"Agriculture, Veterans' Affairs"
Rep. Kathy Manning (D-NC-6),US Representative,Democrat,65,12/3/1956,2,"Member | Foreign Affairs, Education"
Rep. Thomas Massie (R-KY-4),US Representative,Republican,51,1/13/1971,7,"Judiciary, Transportation"
Rep. Brian Mast (R-FL-18),US Representative,Republican,41,7/10/1980,4,"Member | Foreign Affairs, Transportation"
Rep. Doris Matsui (D-CA-6),US Representative,Democrat,77,9/25/1944,10,Member | Energy
Rep. Lucy McBath (D-GA-6),US Representative,Democrat,61,6/1/1960,3,"Member | Judiciary, Education"
Leader Kevin McCarthy (R-CA-23),US Representative,Republican,57,1/26/1965,9,"House Minority Leader, Republican Leader, Speaker of the House"
Rep. Michael McCaul (R-TX-10),US Representative,Republican,60,1/14/1962,10,"Chair, Member | Foreign Affairs (Ranking Member), Homeland Security"
Rep. Lisa McClain (R-MI-10),US Representative,Republican,55,4/7/1966,2,"Member, Secretary | Armed Services, Education"
Rep. Tom McClintock (R-CA-4),US Representative,Republican,65,7/10/1956,8,"Member | Budget, Judiciary, Natural Resources"
Rep. Betty McCollum (D-MN-4),US Representative,Democrat,67,7/12/1954,12,"Member | Appropriations, Natural Resources"
Rep.-elect Richard McCormick (R-GA-6),US Representative,Republican,75,7/20/1947,1,
Rep.-elect Morgan McGarvey (D-KY-3),US Representative,Democrat,43,12/23/1979,1,Minority Floor Leader
Rep. Jim McGovern (D-MA-2),US Representative,Democrat,62,11/20/1959,14,"Rules (Chair), Agriculture"
Rep. Patrick McHenry (R-NC-10),US Representative,Republican,46,10/22/1975,10,"Chair, Region III Representative | Financial Services (Ranking Member)"
Outgoing Rep. David McKinley (R-WV-1),US Representative,Republican,74,3/28/1947,6,Member | Energy
Rep. Cathy McMorris Rodgers (R-WA-5),US Representative,Republican,52,5/22/1969,10,"Chair, Member, Region XI Representative | Energy (Ranking Member)"
Outgoing Rep. Jerry McNerney (D-CA-9),US Representative,Democrat,70,6/18/1951,8,"Energy, Science / Technology"
Rep. Gregory Meeks (D-NY-5),US Representative,Democrat,68,9/25/1953,14,"Foreign Affairs (Chair), Financial Services"
Outgoing Rep. Peter Meijer (R-MI-3),US Representative,Republican,34,1/10/1988,1,"Foreign Affairs, Homeland Security, Science / Technology"
Rep.-elect Rob Menendez (D-NJ-8),US Representative,Democrat,37,7/12/1985,1,
Rep. Grace Meng (D-NY-6),US Representative,Democrat,46,10/1/1975,6,"Member, Organization, Study, and Review Chair | Appropriations"
Rep. Dan Meuser (R-PA-9),US Representative,Republican,58,2/10/1964,3,"Foreign Affairs, Small Business"
Rep. Kweisi Mfume (D-MD-7),US Representative,Democrat,73,10/24/1948,3,"Small Business (Vice Chair), Education, Oversight"
Rep. Carol Miller (R-WV-3),US Representative,Republican,71,11/4/1950,3,"Assistant Whip, Vice Chair for Recruitment | Ways and Means, Climate Crisis"
Rep. Mary Miller (R-IL-15),US Representative,Republican,62,8/27/1959,2,"Member | Agriculture, Education"
Rep.-elect Max Miller (R-OH-7),US Representative,Republican,34,11/13/1988,1,118th Class Representative
Rep. Mariannette Miller-Meeks (R-IA-2),US Representative,Republican,66,9/6/1955,2,"Chair, Member | Education, Homeland Security, Veterans' Affairs"
Rep.-elect Cory Mills (R-FL-7),US Representative,Republican,42,7/13/1980,1,
Rep.-elect Marc Molinaro (R-NY-19),US Representative,Republican,47,10/8/1975,1,
Rep. John Moolenaar (R-MI-4),US Representative,Republican,60,5/8/1961,5,Appropriations
Rep. Alex Mooney (R-WV-2),US Representative,Republican,50,6/7/1971,5,Member | Financial Services
Rep. Barry Moore (R-AL-2),US Representative,Republican,55,9/26/1966,2,"Agriculture, Veterans' Affairs"
Rep. Blake Moore (R-UT-1),US Representative,Republican,41,6/22/1980,2,"Assistant Whip, Member | Budget, Armed Services, Natural Resources"
Rep. Gwen Moore (D-WI-4),US Representative,Democrat,70,4/18/1951,10,"Co-Chair, Member, Vice Chair | Ways and Means, Science / Technology, Economic Disparity and Fairness in Growth"
Rep.-elect Nathaniel Moran (R-TX-1),US Representative,Republican,48,7/22/1974,1,
Rep. Joe Morelle (D-NY-25),US Representative,Democrat,64,4/29/1957,4,"Rules, Appropriations, Budget"
Rep.-elect Jared Moskowitz (D-FL-23),US Representative,Democrat,42,12/18/1942,1,
Rep. Seth Moulton (D-MA-6),US Representative,Democrat,43,10/24/1978,5,"Budget, Armed Services, Transportation"
Rep. Frank Mrvan (D-IN-1),US Representative,Democrat,52,4/16/1969,2,"Education, Veterans' Affairs"
